id,username,nome_completo,bio,cargo,sexo,raca,estado,partido,ideologia,seguidores,status_monitoramento,atualizado_em,ultima_pesquisa_id
91edb744-9a0e-4c2f-a5c6-44637d9e4019,rinhonader,Ratinho Júnior,null,Governador,null,null,PR,null,null,0,Ativo,2026-05-02 11:46:39.70668+00,null
43eecd1a-59aa-4512-8322-8e28d999ca3c,danielvorcaro,Daniel Vorcaro,null,Deputado Federal,null,null,MG,null,null,784,Ativo,2026-05-02 11:46:20.686451+00,null
35a684a8-63c1-4e83-b107-47ac0fa807ad,carlosjordy,Carlos Jordy,null,Deputado Federal,null,null,RJ,null,null,1370988,Ativo,2026-05-02 11:45:40.969919+00,null
1f62319e-d37d-4e0a-a484-dface01cf2c2,aldorebelo,Aldo Rebelo,null,Nacional,null,null,SP,null,null,156959,Ativo,2026-05-02 11:45:11.866409+00,null
47eba153-1362-454a-bb4a-4136312ea2a2,erikahiltonoficial,null,null,Influenciador Político,null,null,SP,null,null,0,Ativo,2026-05-02 11:44:52.759007+00,null
f63438b8-055d-45f3-88c6-14919f25bb05,alvarodiasrn,null,null,Deputado Estadual,null,null,RN,null,null,120963,Ativo,2026-05-02 11:43:54.152337+00,null
ebd5a7b4-0b66-456f-a2e4-bf96caea713f,flaviobolsonaro,Flávio Bolsonaro,"Flávio Bolsonaro  
Senador | Advogado | Cristão
Vamos resgatar o nosso Brasil 🇧🇷  
Pré-candidato à Presidência da República
💍@fernanda.bolsonaro
Rede👇",Senador,null,null,BR,null,null,10172769,Ativo,2026-05-02 11:42:09.407758+00,null
865e5c91-c429-4268-ac36-17a921c3fda1,allysonbezerra.rn,Allyson Bezerra,"Pré-candidato a governador do RN
💙 2x Prefeito de Mossoró
💍 Casado com Cinthia 
👧 Pai de Angelina 
👷🏻‍♂️ Engenheiro Civil
📲 Siga @167razoesrn",Deputado Federal,null,null,RN,null,null,377256,Ativo,2026-05-02 11:41:10.501482+00,null
395210f0-22b2-4279-bff0-4e882820484a,nikolasferreirainfo,Nikolas Ferreira Info 🇧🇷,"-  Perfil de apoio
-  Bastidores e correria 🏃‍➡️
-  Deputado Federal mais votado do Brasil!🇧🇷 
-  Clique em “Assinar”",Influenciador Político,null,null,MG,null,null,2896256,Ativo,2026-05-02 11:40:51.569453+00,null
c03bd92a-b0a8-4c98-bd02-72c269b2d540,styvensonvalentim,,,Deputado Federal,null,null,RN,null,null,0,Ativo,2026-05-02 11:40:32.218459+00,null
